time,open,high,low,close
1790186160,30750.25,30757.25,30747.75,30754.25
1790186220,30753.75,30766.25,30750,30765.75
1790186280,30765.75,30770.25,30765.25,30768.75
1790186340,30768,30774.5,30766,30771.25
1790186400,30771,30772.25,30762.25,30767.25
1790186460,30767,30768,30757,30761
1790186520,30761,30761.75,30749.5,30752.5
1790186580,30753.25,30753.25,30740.5,30742.75
1790186640,30742.5,30742.5,30727.25,30730.25
1790186700,30729.5,30738.5,30726,30737.75
1790186760,30737.75,30748.25,30736,30741.75
1790186820,30741.5,30744.75,30738.75,30742.75
1790186880,30742.75,30747,30740.5,30742.5
1790186940,30742.25,30743.5,30734,30739.25
1790187000,30739.75,30747.5,30736.25,30736.5
1790187060,30736.25,30744.25,30736,30740.25
1790187120,30740.75,30742.25,30736.5,30742
1790187180,30741.75,30746,30738.75,30743.5
1790187240,30743.25,30747,30740.25,30745.5
1790187300,30745.5,30753.75,30741,30751.75
1790187360,30751.25,30759.25,30747.75,30749.25
1790187420,30749.25,30759.25,30748.75,30758.25
1790187480,30758.5,30768.5,30757,30767.75
1790187540,30767.25,30769.5,30758,30760
1790187600,30760,30763,30754.25,30757.75
1790187660,30758.25,30759.5,30747.5,30751
1790187720,30751.25,30755,30750.25,30753.25
1790187780,30753,30760,30746.25,30756.5
1790187840,30756.25,30761.75,30755.5,30760
1790187900,30760,30764.25,30754.25,30754.25
1790187960,30754.75,30760.75,30754.25,30755.25
1790188020,30755.25,30764.5,30755.25,30757.75
1790188080,30757.25,30759.25,30752.75,30756.25
1790188140,30756.25,30759.75,30750.5,30755.5
1790188200,30754.75,30757.75,30744.75,30746.25
1790188260,30746.25,30748.5,30740.25,30745.75
1790188320,30745.5,30750,30742.25,30749.25
1790188380,30749.25,30750,30744.25,30746.25
1790188440,30746,30753.5,30739.25,30747.75
1790188500,30748.25,30754.5,30747.5,30751.25
1790188560,30751,30753.5,30745.5,30746.5
1790188620,30746.5,30746.75,30735.25,30735.75
1790188680,30736,30737.25,30727.25,30732
1790188740,30731.75,30735.5,30728.5,30732.25
1790188800,30732.5,30741.5,30732.5,30739.5
1790188860,30739.5,30744.25,30733.75,30736
1790188920,30736,30746,30735.75,30743.5
1790188980,30744,30752.25,30744,30750
1790189040,30749.75,30750.5,30745.5,30748
1790189100,30747.5,30749,30742.5,30746
1790189160,30746,30748.5,30740.75,30742.75
1790189220,30742.75,30749.5,30742.25,30745.75
1790189280,30745.75,30757.25,30743.5,30757.25
1790189340,30757,30763.5,30755.75,30761.75
1790189400,30762.25,30768.75,30756.5,30757.25
1790189460,30757.75,30760.75,30755.5,30759
1790189520,30759,30759.75,30745.5,30748.25
1790189580,30748.5,30754.75,30746.5,30754
1790189640,30753.25,30753.5,30746.5,30750
1790189700,30749.5,30761.75,30747.75,30761.25
1790189760,30761.5,30763.75,30758.75,30762.25
1790189820,30762.25,30764.5,30757.5,30764.5
1790189880,30764.25,30766,30760.75,30763.5
1790189940,30763.5,30766.75,30759.75,30762.25
1790190000,30762.5,30763.5,30752.5,30762.5
1790190060,30762.75,30767.25,30759.25,30761
1790190120,30761,30763.25,30755.25,30758.75
1790190180,30758.75,30759.25,30742.25,30743.25
1790190240,30743.5,30748,30742.5,30743.5
1790190300,30743.75,30751,30740.75,30749.25
1790190360,30749,30764.25,30745.5,30763.5
1790190420,30763.5,30780.5,30761.5,30776.25
1790190480,30776,30782.25,30774,30779
1790190540,30779.25,30781.25,30765,30769.75
1790190600,30770,30774.5,30766.5,30768.5
1790190660,30768.5,30773.75,30766.25,30770
1790190720,30769.75,30772.25,30758,30760
1790190780,30760.25,30763,30753.75,30762.5
1790190840,30762.75,30764.5,30759.5,30762.75
1790190900,30762.75,30765.75,30748.25,30748.25
1790190960,30748.75,30749.25,30741.5,30745.75
1790191020,30745.5,30748.75,30741.75,30747.75
1790191080,30748,30755.75,30745.75,30754.5
1790191140,30754.5,30757.75,30749.75,30751
1790191200,30750.5,30750.75,30743.25,30746.75
1790191260,30746.75,30748.75,30741.25,30746.75
1790191320,30747.75,30748.25,30744.25,30745.25
1790191380,30745.5,30751,30745.5,30747.25
1790191440,30747.5,30750.25,30744,30749.75
1790191500,30749.5,30757.75,30745.5,30747
1790191560,30747.5,30753.75,30745,30746
1790191620,30746.25,30754.5,30744.75,30751.5
1790191680,30751.5,30755.75,30749.25,30751
1790191740,30750.75,30754.5,30748.25,30753.25
1790191800,30753.5,30759.75,30747,30753
1790191860,30752.75,30757.25,30749.25,30753.5
1790191920,30753.75,30763.25,30753,30763.25
1790191980,30763,30771.25,30761,30768.5
1790192040,30768.75,30775.5,30767.75,30773
1790192100,30772.5,30772.75,30761,30766.5
1790192160,30766.75,30769.5,30764.5,30765
1790192220,30764.75,30766.5,30758.75,30764
1790192280,30764.5,30765,30756.5,30757.25
1790192340,30757.25,30766.75,30756.5,30765.25
1790192400,30765.5,30771.5,30763.5,30764
1790192460,30764.25,30765,30755,30755.75
1790192520,30755.5,30757.25,30736.75,30737.25
1790192580,30738,30741.25,30728.75,30741.25
1790192640,30741.5,30748,30737.75,30746.75
1790192700,30747,30753,30743.75,30751.25
1790192760,30751.25,30752.25,30742.5,30750
1790192820,30750.75,30764,30750.5,30763
1790192880,30763.25,30764.25,30757,30762
1790192940,30762.5,30767.75,30759.75,30767.25
1790193000,30767.75,30773,30727.75,30736.25
1790193060,30736.5,30742.5,30721,30724
1790193120,30723.5,30726.5,30711.5,30717
1790193180,30717.5,30734.25,30715.25,30733.75
1790193240,30733.5,30739.25,30719,30720.75
1790193300,30720.5,30756.25,30720.5,30746.25
1790193360,30746.25,30749.25,30736.5,30746.75
1790193420,30746.75,30763.25,30744.75,30755.75
1790193480,30755.75,30762.5,30752.5,30758.5
1790193540,30758.75,30779.5,30747.5,30769.75
1790193600,30770,30776.5,30765.75,30766
1790193660,30766.25,30772,30763,30767.5
1790193720,30767,30770,30764,30766
1790193780,30765.75,30769.75,30760.75,30765.25
1790193840,30764.75,30765.75,30758.25,30762.5
1790193900,30762,30764,30756.75,30760.75
1790193960,30760.75,30761.75,30755.75,30756.75
1790194020,30756.75,30759.25,30754,30756.75
1790194080,30757.5,30759.75,30754.5,30755.75
1790194140,30756.25,30763.5,30755.75,30761.5
1790194200,30761.25,30763.25,30757,30758.5
1790194260,30758.75,30762,30758.25,30760
1790194320,30760,30765,30758.75,30761.5
1790194380,30760.75,30761.75,30756.5,30757.5
1790194440,30758,30758.5,30751.5,30752.75
1790194500,30753.25,30754.5,30750.25,30754
1790194560,30754,30756.75,30752.5,30753.5
1790194620,30753.25,30758.5,30752.5,30757.25
1790194680,30757.25,30760.25,30754.25,30759.25
1790194740,30759.25,30760.25,30758,30759.5
1790194800,30760,30761.25,30757.75,30759.5
1790194860,30759,30763.75,30758,30761.75
1790194920,30762,30763,30760.5,30761.25
1790194980,30761.25,30764.5,30761,30762
1790195040,30762,30764,30761.5,30763.25
1790195100,30763.25,30763.75,30761.5,30762.5
1790195160,30763,30765.5,30760.75,30763.5
1790195220,30764,30764.75,30763,30763.25
1790195280,30763,30763.5,30758,30758.5
1790195340,30758.5,30764,30757.5,30763.5
1790195400,30763.25,30766.25,30761.75,30766
1790195460,30765.75,30767,30763.5,30766
1790195520,30766.25,30769,30764.75,30765
1790195580,30765,30765.25,30760.25,30761.75
1790195640,30761.5,30762.25,30760,30761.25
1790195700,30761.5,30763,30760,30760.25
1790195760,30760.25,30762.75,30760,30762
1790195820,30762.75,30768.75,30762,30768.75
1790195880,30767.75,30770.75,30767.75,30769.25
1790195940,30769.75,30772.75,30769.75,30771
1790196000,30770.5,30773.25,30770.5,30771.75
1790196060,30772,30773,30769,30770.75
1790196120,30771,30772,30770,30771.25
1790196180,30771.75,30771.75,30768.75,30771.5
1790196240,30771,30774.75,30770,30774.5
1790196300,30774.25,30776.75,30773.25,30773.25
1790196360,30773.75,30774.5,30772,30774
1790196420,30774,30774.25,30771,30771.75
1790196480,30771.25,30771.75,30768.75,30769
1790196540,30768.75,30771.5,30768,30768.25
1790196600,30768.5,30772.5,30768,30770.25
1790196660,30770,30773,30770,30772.25
1790196720,30771.75,30772,30769.75,30770
1790196780,30770.5,30774,30769.75,30773.25
1790196840,30773.25,30775.5,30772,30773
1790196900,30773.5,30776,30771.5,30773.5
1790196960,30772.25,30773.5,30770.75,30773.25
1790197020,30772.75,30774,30772,30772.75
1790197080,30773.25,30774.25,30770.5,30771
1790197140,30771.75,30777,30768,30776
1790200800,30780,30805.25,30778.25,30801.75
1790200860,30801.5,30805.75,30787.25,30798.25
1790200920,30798.75,30805,30791.75,30802.25
1790200980,30801.75,30805.5,30796.25,30798
1790201040,30797.5,30798.5,30790.5,30793
1790201100,30792,30798,30777.25,30792.75
1790201160,30792.75,30804.75,30787.25,30803.5
1790201220,30803.25,30808.75,30799,30800
1790201280,30801,30802,30796.75,30801.25
1790201340,30802,30805,30799,30804
1790201400,30805,30806,30801,30805
1790201460,30804.5,30804.75,30801,30802.5
1790201520,30801.5,30803,30799,30802
1790201580,30802.5,30806,30801.5,30805
1790201640,30805,30806.25,30804,30805.25
1790201700,30804.75,30814.25,30804.75,30812
1790201760,30811,30812.75,30801.5,30804.25
1790201820,30803.5,30805.25,30799.75,30799.75
1790201880,30800,30802,30798,30799
1790201940,30799.75,30799.75,30791,30792.75
1790202000,30792.75,30795.5,30789.75,30794.5
1790202060,30794.5,30795.5,30786.5,30788.25
1790202120,30788.25,30791.75,30786,30791.25
1790202180,30791,30794.75,30790.25,30792
1790202240,30792,30793.75,30791,30793.5
1790202300,30793.25,30794,30788.5,30792.5
1790202360,30792.75,30794,30788.25,30789
1790202420,30789,30792.25,30787,30790.5
1790202480,30791,30791,30782,30784.75
1790202540,30784.5,30787.25,30783.5,30786
1790202600,30786,30790,30780.75,30784.25
1790202660,30784.25,30786.25,30782.75,30784.75
1790202720,30784.75,30801.75,30784.5,30798.5
1790202780,30798.5,30798.5,30791.75,30791.75
1790202840,30792.25,30793.25,30787,30790.75
1790202900,30791.5,30791.5,30780,30782.5
1790202960,30783.5,30784,30779.75,30782.25
1790203020,30782.75,30785.75,30781,30785
1790203080,30785.25,30788.75,30782,30784.75
1790203140,30785.5,30789,30784.5,30786.75
1790203200,30786,30790.5,30783.5,30789.25
